"Idiom","Pinyin","Letter","Explanation","Synonym"
"食古如鲠","shí gǔ rú gěng","shi gu ru geng","犹言食古不化。指对所学的古代知识理解得不深不透，不善于按现在的情况来运用，跟吃不东西不消化一样。",""
"时乖命蹇","shí guāi mìng jiǎn","shi guai ming jian","时：时运，时机；乖：不顺利；蹇：一足偏废，引伸为不顺利。时运不好，命运不佳。这是唯心主义宿命论的观点。",""
"时乖运舛","shí guāi yùn chuǎn","shi guai yun chuan","舛违背，不相合。时运不顺，命运不佳。指处境不顺利。",""
"时乖运乖","shí guāi yùn guāi","shi guai yun guai","时运不顺，命运不佳。指处境不顺利。",""
"时乖运蹇","shí guāi yùn jiǎn","shi guai yun jian","时：时运，时机；乖：不顺利；蹇：一足偏废，引伸为不顺利。时运不好，命运不佳。这是唯心主义宿命论的观点。",""
"时乖运拙","shí guāi yùn zhuō","shi guai yun zhuo","拙劣，不好。时运不顺，命运不佳。指处境不顺利。",""
"饰怪装奇","shì guài zhuāng qí","shi guai zhuang qi","指故为怪异。",""
"十光五色","shí guāng wǔ sè","shi guang wu se","形容景象纷繁，色彩绚丽。",""
"时过境迁","shí guò jìng qiān","shi guo jing qian","迁：变动。随着时间的推移，情况发生变化。",""
"事过境迁","shì guò jìng qiān","shi guo jing qian","境：境况；迁：改变。事情已经过去，情况也变了。",""
"事过景迁","shì guò jǐng qiān","shi guo jing qian","事情已经过去，情况也变了。同事过境迁”。",""
"事过情迁","shì guò qíng qiān","shi guo qing qian","随着事情过去，对该事的感情、态度也起了变化。",""
"十行俱下","shí háng jù xià","shi hang ju xia","眼睛一瞥就能看下十行文字。形容读书极快。",""
"十寒一暴","shí hán yī bào","shi han yi bao","冻十天，晒一天。比喻做事时而抓紧，时而懈怠，进展不快。",""
"时亨运泰","shí hēng yùn tai","shi heng yun tai","旧时指命运亨通。",""
"时和年丰","shí hé nián fēng","shi he nian feng","和：和平；年：年成；丰：盛，多。风调雨顺，五谷丰登。",""
"时和岁丰","shí hé suì fēng","shi he sui feng","四时和顺，五谷丰收。用以称颂太平盛世。同时和年丰”。",""
"时和岁稔","shí hé suì rěn","shi he sui ren","四时和顺，五谷丰收。用以称颂太平盛世。同时和年丰”。",""
"势合形离","shì hé xíng lí","shi he xing li","势：形状；形：形体。形体各自独立，结构完整不分。",""
"事核言直","shì hé yán zhí","shi he yan zhi","事情确实，文辞直捷。",""
"誓海盟山","shì hǎi méng shān","shi hai meng shan","指男女相爱时立下的誓言，表示爱情要象山和海一样永恒不变。同山盟海誓”。",""
"石火电光","shí huǒ diàn guāng","shi huo dian guang","形容事物象闪电和石火一样一瞬间就消逝。",""
"石火风灯","shí huǒ fēng dēng","shi huo feng deng","比喻为时短暂。",""
"石火风烛","shí huǒ fēng zhú","shi huo feng zhu","比喻为时短暂。",""
"石火光阴","shí huǒ guāng yīn","shi huo guang yin","表示光阴之迅速，一眨眼就要过去。",""
"释回增美","shì huí zēng měi","shi hui zeng mei","指去除邪僻，增加美善。回，指邪僻。",""
"事缓则圆","shì huǎn zé yuán","shi huan ze yuan","碰到事情不要操之过急，而要慢慢地设法应付，可以得到圆满的解决。",""
"实获我心","shí huò wǒ xīn","shi huo wo xin","表示别人说得跟自己的想法一样。",""
"食藿悬鹑","shí huò xuán chún","shi huo xuan chun","指生活穷苦。食藿，以豆叶为食；悬鹑，衣衫褴褛，似鹑鸟悬垂的秃尾。",""
"事火咒龙","shì huǒ zhòu lóng","shi huo zhou long","比喻荒诞不经之事。事火，指祀火为神；咒龙，指咒龙请雨。",""
"逝将去汝","shì jiāng qù rǔ","shi jiang qu ru","诀别之辞。",""
"十浆五馈","shí jiāng wǔ kuì","shi jiang wu kui","十家卖浆者之中有五家争先送来。本指卖浆者争利，后用以比喻争相设宴款待。",""
"石缄金匮","shí jiān jīn kuì","shi jian jin kui","古代国家收藏重要文献的地方。同石室金匮”。",""
"嗜痂之癖","shì jiā zhī pǐ","shi jia zhi pi","嗜：喜爱；痂：疮口结的硬壳；癖：积久的嗜好。原指爱吃疮痂的癖性。后形容怪癖的嗜好。",""
"事捷功倍","shì jié gōng bèi","shi jie gong bei","事情易办而功效很大。",""
"世济其美","shì jì qí měi","shi ji qi mei","指后代继承前代的美德。",""
"拾金不昧","shí jīn bù mèi","shi jin bu mei","金：原指钱财，现泛指各种贵重物品；昧：隐藏。拾到东西并不隐瞒下来据为己有。指良好的仆人道德和社会风尚。",""
"市井无赖","shì jǐng wú lài","shi jing wu lai","指城市中游手好闲、品行不端的人。",""
"市井小人","shì jǐng xiǎo rén","shi jing xiao ren","指城市中庸俗鄙陋之人。",""
"市井之臣","shì jǐng zhī chén","shi jing zhi chen","市井：古时称做买卖的地方。旧指城市里的老百姓。",""
"市井之徒","shì jǐng zhī tú","shi jing zhi tu","徒：人（含贬义）。旧指做买卖的人或街道上没有受过教育的人。",""
"势均力敌","shì jūn lì dí","shi jun li di","均：平；敌：相当。双方力量相等，不分高低。",""
"势钧力敌","shì jūn lì dí","shi jun li di","双方力量相等，不分高低。同势均力敌”。",""
"适居其反","shì jú qí fǎn","shi ju qi fan","恰恰得到与预期相反的结果。同适得其反”。",""
"食饥息劳","shí jī xī láo","shi ji xi lao","指使饥饿者得食，疲劳者休息。",""
"舐糠及米","shì kāng jí mǐ","shi kang ji mi","舐：用舌头舔东西。舔米外的糠，一直舔到里面的米。比喻占据的地方再夺取政权。也比喻由表及里，逐步进逼。",""
"适可而止","shì kě ér zhǐ","shi ke er zhi","适可：恰好可以。到适当的程度就停下来，不要过头。",""
"猦穅及米","shì kǎn jí mǐ","shi kan ji mi","比喻逐步侵蚀渐及全体。",""
"十拷九棒","shí kǎo jiǔ bàng","shi kao jiu bang","指严刑拷打。",""
"事宽即圆","shì kuān jí yuán","shi kuan ji yuan","谓遇事只要从容对待，就能圆满解决。款，宽缓。同事款则圆”。",""
"事宽则圆","shì kuān zé yuán","shi kuan ze yuan","遇到事情只要从容对待，就能圆满解决。款宽缓。同事款则圆”。",""
"事款则圆","shì kuǎn zé yuán","shi kuan ze yuan","谓遇事只要从容对待，就能圆满解决。款，宽缓。",""
"十口相传","shí kǒu xiāng chuán","shi kou xiang chuan","许多人辗转相传。",""
"时来运来","shí lái yùn lái","shi lai yun lai","本来处境不利，遇到机会，命运开始好转。同时来运转”。",""
"时来运旋","shí lái yùn xuán","shi lai yun xuan","本来处境不利，遇到机会，命运开始好转。同时来运转”。",""
"时来运转","shí lái yùn zhuǎn","shi lai yun zhuan","旧指时机来了，命运也有了转机。指境况好转。",""
"石烂海枯","shí làn hǎi kū","shi lan hai ku","直到石头变土，海水干涸。比喻永久。",""
"石烂江枯","shí làn jiāng kū","shi lan jiang ku","直到石头变土，江水干涸。比喻不可能发生的事情。",""
"十里长亭","shí lǐ cháng tíng","shi li chang ting","秦汉时每十里设置一亭，以后每五里有一短亭，供行人何处，亲友远行常在此话别。",""
"石泐海枯","shí lè hǎi kū","shi le hai ku","直到石头碎裂，海水干涸。形容经历极长的时间。",""
"十里洋场","shí lǐ yáng chǎng","shi li yang chang","旧指洋人较多的地方。多形容旧时的上海。",""
"识礼知书","shí lǐ zhī shū","shi li zhi shu","懂得礼仪，熟知诗书。",""
"食毛践土","shí máo jiàn tǔ","shi mao jian tu","毛：指地面所生之谷物；贱：踩。原意是吃的食物和居住的土地都是国君所有。封建官吏用以表示感戴君主的恩德。",""
"十眠九坐","shí mián jiǔ zuò","shi mian jiu zuo","时躺时坐。形容病体难支。",""
"十面埋伏","shí miàn mái fú","shi mian mai fu","意思是设伏兵于十面以围歼敌军。",""
"拭面容言","shì miàn róng yán","shi mian rong yan","拭：擦；拭面：擦去别人吐在自己脸上的唾沫；容言：听取别人意见。泛指接受别人的批评，正确对待自己的错误。",""
"识明智审","shí míng zhì shěn","shi ming zhi shen","识见明敏，智虑周详。",""
"视民如伤","shì mín rú shāng","shi min ru shang","把百姓当作有伤病的人一样照顾。旧时形容在位者关怀人民。",""
"视民如子","shì mín rú zǐ","shi min ru zi","形容帝王、官吏爱护百姓。",""
"市民文学","shì mín wén xué","shi min wen xue","封建社会后期，适应城市居民需要而产生的一种文学。内容大多描写市民社会的生活和悲欢离合的故事，反映市民阶层的思想和愿望。宋元明话本是其代表作品。",""
"十米九糠","shí mǐ jiǔ kāng","shi mi jiu kang","饭食中多糠。形容穷苦。",""
"食马留肝","shí mǎ liú gān","shi ma liu gan","后反用其义，比喻未能吸取精华。",""
"拭目而待","shì mù ér dài","shi mu er dai","拭：擦；待：等待。擦亮眼睛等着瞧。形容期望很迫切。也表示确信某件事情一定会出现。",""
"十拏九稳","shí mù jiǔ wěn","shi mu jiu wen","比喻很有把握。同十拿九稳”。",""
"十目所视","shí mù suǒ shì","shi mu suo shi","指个人的言论行动总是在群众的监督之下，不允许做坏事，做了也不可能隐瞒。同十目所视，十手所指”。",""
"拭目以待","shì mù yǐ dài","shi mu yi dai","拭：擦；待：等待。擦亮眼睛等着瞧。形容期望很迫切。也表示确信某件事情一定会出现。",""
"拭目以俟","shì mù yǐ sì","shi mu yi si","形容期望很迫切。也表示确信某件事情一定会出现。同拭目以待”。",""
"十拿九稳","shí ná jiǔ wěn","shi na jiu wen","比喻很有把握。",""
"十年窗下","shí nián chuāng xià","shi nian chuang xia","科举时代，读书人要取得功名，终年埋头在书本里。形容十年时间闭门苦读。",""
"十年读书","shí nián dú shū","shi nian du shu","指长期努力于学业。",""
"十年寒窗","shí nián hán chuāng","shi nian han chuang","形容长年刻苦读书。",""
"十年磨剑","shí nián mó jiàn","shi nian mo jian","比喻多年刻苦磨练。",""
"十年生聚","shí nián shēng jù","shi nian sheng ju","比喻培养实力，为报仇雪耻作长期的准备。",""
"士农工商","shì nóng gōng shāng","shi nong gong shang","古代所谓四民，指读书的、种田的、做工的、经商的。",""
"室怒市色","shì nù shì sè","shi nu shi se","室：家；市：指在外面；色：脸色。指在家里受气，到外边迁怒于人。",""
"舐皮论骨","shì pí lùn gǔ","shi pi lun gu","舐：舔。比喻只看到一点表面现象就妄加评论。",""
"石破天惊","shí pò tiān jīng","shi po tian jing","原形容箜篌的声音，忽而高亢，忽而低沉，出人意外，有能以形容的奇境。后多比喻文章议论新奇惊人。",""
"食前方丈","shí qián fāng zhàng","shi qian fang zhang","方丈：一丈见方。吃饭时面前一丈见方的地方摆满了食物。形容吃的阔气。",""
"恃强凌弱","shì qiáng líng ruò","shi qiang ling ruo","凌：欺凌。依仗强大，欺侮弱小。",""
"噬脐何及","shì qí hé jí","shi qi he ji","噬脐：用嘴咬肚脐。象咬自己肚脐似的，够不着。比喻后悔也来不及。",""
"噬脐莫及","shì qí mò jí","shi qi mo ji","噬脐：用嘴咬肚脐。象咬自己肚脐似的，够不着。比喻后悔也来不及。",""
"饰情矫行","shì qíng jiǎo xíng","shi qing jiao xing","指掩饰自己的真心本意，行为矫揉造作。",""
"适情任欲","shì qíng rèn yù","shi qing ren yu","犹言任情纵欲。",""
"适情率意","shì qíng shuài yì","shi qing shuai yi","犹言放任情意。",""
"势穷力蹙","shì qióng lì cù","shi qiong li cu","形势窘迫，力量衰竭。同势穷力屈”。",""
"势穷力竭","shì qióng lì jié","shi qiong li jie","大势已去，力量用尽。指惨败后的困难处境。",""
"势穷力屈","shì qióng lì qū","shi qiong li qu","形势窘迫，力量衰竭。",""
"事齐事楚","shì qí shì chǔ","shi qi shi chu","事：侍奉；齐、楚：春秋时两大强国。依附齐国呢？还是依附楚国？比喻处在两强之间，不能得罪任何一方。",""
"噬脐无及","shì qí wú jí","shi qi wu ji","自咬腹脐够不着。比喻后悔不及。亦作噬脐莫及”。",""
"时诎举赢","shí qū jǔ yíng","shi qu ju ying","在困难的时候而做奢侈的事情。同时绌举赢”。",""
"食亲财黑","shí qīn cái hēi","shi qin cai hei","指人贪婪自私，爱占便宜。",""
"势倾朝野","shì qīng cháo yě","shi qing chao ye","形容权势极大，压倒一切人。",""
"时清海宴","shí qīng hǎi yàn","shi qing hai yan","时世清平，四方安定。",""
"势倾天下","shì qīng tiān xià","shi qing tian xia","形容权势极大，压倒一切人。",""
"十亲九故","shí qīn jiǔ gù","shi qin jiu gu","形容亲戚朋友很多。",""
"十亲九眷","shí qīn jiǔ juàn","shi qin jiu juan","指众多亲戚。",""
"十全十美","shí quán shí měi","shi quan shi mei","十分完美，毫无欠缺。",""
"十人九慕","shí rén jiǔ mù","shi ren jiu mu","慕羡慕。十个人见了有九个人羡慕。形容才貌出众，人人羡慕。",""
"视人如伤","shì rén rú shāng","shi ren ru shang","把百姓当作有伤病的人一样照顾。旧时形容在位者关怀人民。同视民如伤”。",""
"视人如子","shì rén rú zǐ","shi ren ru zi","形容帝王、官吏爱护百姓。同视民如子”。",""
"拾人涕唾","shí rén tì tuò","shi ren ti tuo","涕唾：鼻涕唾沫。比喻自己没有创见，只是抄袭别人的言论、见解。",""
"拾人唾涕","shí rén tuò tì","shi ren tuo ti","比喻自己没有创见，只是抄袭别人的言论、见解。同拾人涕唾”。",""
"拾人唾余","shí rén tuò yú","shi ren tuo yu","比喻自己没有创同，只是抄袭别人的言论、见解。见拾人涕唾”。",""
"拾人牙慧","shí rén yá huì","shi ren ya hui","拾：捡取；牙慧：指别人说过的话。比喻拾取别人的一言半语当作自己的话。",""
"十日并出","shí rì bìng chū","shi ri bing chu","①古代神话传说天本有十个同时出现的太阳。②比喻暴乱并起。",""
"时日曷丧","shí rì hé sàng","shi ri he sang","表示誓不与其共存。形容痛恨到极点。",""
"视日如年","shì rì rú nián","shi ri ru nian","指时间虽短，但却感到过得很长。",""
"食日万钱","shí rì wàn qián","shi ri wan qian","每天饮食要花费上万的钱。形容饮食极奢侈。",""
"誓日指天","shì rì zhǐ tiān","shi ri zhi tian","对着天、日发誓。同誓天指日”。",""
"十日之饮","shí rì zhī yǐn","shi ri zhi yin","比喻朋友连日尽情欢聚。",""
"世扰俗乱","shì rǎo sú luàn","shi rao su luan","社会骚乱，风气败坏。",""
"食肉寝皮","shí ròu qǐn pí","shi rou qin pi","割他的肉吃，剥他的皮睡。形容对敌人的深仇大恨。",""
"视如敝屐","shì rú bì jī","shi ru bi ji","象破烂鞋子一样看待。比喻非常轻视。",""
"视如敝屣","shì rú bì xǐ","shi ru bi xi","敝屣：破鞋子。象破烂鞋子一样看待。比喻非常轻视。",""
"视如草芥","shì rú cǎo jiè","shi ru cao jie","芥：小草。看作象泥土，小草一般轻贱。比喻极端轻视。",""
"视如粪土","shì rú fèn tǔ","shi ru fen tu","看得如同秽土那样下贱。比喻极端蔑视。",""
"视如寇仇","shì rú kòu chóu","shi ru kou chou","寇仇：仇敌。看得象仇人一样。",""
"视如陌路","shì rú mò lù","shi ru mo lu","指与亲人或熟人非常疏远。同视若路人”。",""
"视若儿戏","shì ruò ér xì","shi ruo er xi","比喻不当一回事，极不重视。同视同儿戏”。",""
"视若路人","shì ruò lù rén","shi ruo lu ren","看做路上遇到的陌生人。指与亲人或熟人非常疏远。",""
"势若脱兔","shì ruò tuō tù","shi ruo tuo tu","势攻势。脱脱逃。对敌人攻击的速度极快，就像脱逃的兔子奔跑那样。",""
"视若无睹","shì ruò wú dǔ","shi ruo wu du","睹：看见。虽然看见了，却象没有看见一样。指对眼前事物莫不关心。",""
"势如破竹","shì rú pò zhú","shi ru po zhu","势：气势，威力。形势就象劈竹子，头上几节破开以后，下面各节顺着刀势就分开了。比喻节节胜利，毫无阻碍。",""
"势如劈竹","shì rú pī zhú","shi ru pi zhu","比喻节节胜利，毫无阻碍。见势如破竹”。",""
"适如其分","shì rú qí fèn","shi ru qi fen","犹言恰如其分。指办事或说话正合分寸。",""
"势如水火","shì rú shuǐ huǒ","shi ru shui huo","形容双方就像水火一样互相对立，不能相容。",""
"视如土芥","shì rú tǔ jiè","shi ru tu jie","芥：小草。看作象泥土，小草一般轻贱。比喻不放在眼里。",""
"室如县罄","shì rú xiàn qìng","shi ru xian qing","指室中空无所有。比喻一贫如洗。亦作室如悬磬”。亦作室如悬罄”。",""
"室如悬磬","shì rú xuán qìng","shi ru xuan qing","悬：挂；磬：乐器，中空。屋里就象挂着石磬一样。形容穷得什么也没有。",""
"室如悬罄","shì rú xuán qìng","shi ru xuan qing","指室中空无所有。比喻一贫如洗。同室如县罄”。",""
"视如珍宝","shì rú zhēn bǎo","shi ru zhen bao","形容十分珍爱。",""
"誓死不二","shì sǐ bù èr","shi si bu er","誓死：立下志愿，至死不变。至死也不变心。形容意志坚定专一。",""
"誓死不贰","shì sǐ bù èr","shi si bu er","立誓至死不生二心。形容忠贞不渝或意志坚定专一。",""
"誓死不屈","shì sǐ bù qū","shi si bu qu","立誓宁死也不屈服。",""
"十死不问","shí sǐ bù wèn","shi si bu wen","指即使犯十次死罪也予宽恕。",""
"誓死不渝","shì sǐ bù yú","shi si bu yu","立誓至死不变。",""
"嗜杀成性","shì shā chéng xìng","shi sha cheng xing","嗜：爱好。好杀人成了习性。形容极端凶残。",""
"誓山盟海","shì shān méng hǎi","shi shan meng hai","指男女相爱时立下的誓言，表示爱情要象山和海一样永恒不变。同山盟海誓”。",""
"食生不化","shí shēng bù huà","shi sheng bu hua","指生吞活剥，不善灵活运用。",""
"十生九死","shí shēng jiǔ sǐ","shi sheng jiu si","形容历尽艰险。",""
"释生取义","shì shēng qǔ yì","shi sheng qu yi","犹言舍生取义。",""
"事生肘腋","shì shēng zhǒu yè","shi sheng zhou ye","肘腋胳肢窝。比喻事变就发生在身边。",""
"时殊风异","shí shū fēng yì","shi shu feng yi","时时代。风风俗。殊、异不同。时代不同，风俗也不同。",""
"识时达变","shí shí dá biàn","shi shi da bian","认清时势，通达权变。",""
"十世单传","shí shì dān chuán","shi shi dan chuan","连续十代独子相传。形容极其宝贵。",""
"识时达务","shí shí dá wù","shi shi da wu","认清时势，通达事务。",""
"是是非非","shì shì fēi fēi","shi shi fei fei","把对的认为是对的，把错的认为是错的。比喻是非、好坏分得非常清楚。",""
"十室九空","shí shì jiǔ kōng","shi shi jiu kong","室：人家。十家有九家一无所有。形容人民大量死亡或逃亡后的荒凉景象。",""
"十室九匮","shí shì jiǔ kuì","shi shi jiu kui","匮，指财物匮乏。形容因各种自然或社会的原因而造成百姓贫困的景象。",""
"石室金匮","shí shì jīn guì","shi shi jin gui","亦作石室金鐀”。古代国家收藏重要文献的地方。",""
"石室金鐀","shí shì jīn guì","shi shi jin gui","古代国家收藏重要文献的地方。同石室金匮”。",""
"实事求是","shí shì qiú shì","shi shi qiu shi","指从实际对象出发，探求事物的内部联系及其发展的规律性，认识事物的本质。通常指按照事物的实际情况办事。",""
"十室容贤","shí shì róng xián","shi shi rong xian","只有十户人家的小地方也有贤人。",""
"识时通变","shí shí tōng biàn","shi shi tong bian","认清时势，通达权变。同识时达变”。",""
"十十五五","shí shí wǔ wǔ","shi shi wu wu","①指十个一群，五个一组。形容错乱不齐。②指每十里五里。",""
"释知遗形","shì shì yí xíng","shi shi yi xing","犹言弃智忘身。指超然物外，与世无争。",""
"适时应务","shì shí yīng wù","shi shi ying wu","适合时宜，顺应世务。",""
"食少事烦","shí shǎo shì fán","shi shao shi fan","每日吃饭很少，可是处理的事务非常繁重。形容工作辛劳，身体不佳。",""
"食少事繁","shí shǎo shì fán","shi shao shi fan","形容工作辛劳，身体不佳。同食少事烦”。",""
"十鼠同穴","shí shǔ tóng xué","shi shu tong xue","比喻使集中在一起，一网打尽。",""
"螫手解腕","shì shǒu jǐe wǎn","shi shou jie wan","比喻为了顾全大局而忍痛牺牲局部。",""
"十手争指","shí shǒu zhēng zhǐ","shi shou zheng zhi","指人如有不善，众人则争相指责。",""
"十死九活","shí sǐ jiǔ huó","shi si jiu huo","形容难以幸存。",""
"视死如归","shì sǐ rú guī","shi si ru gui","把死看得象回家一样平常。形容不怕牺牲生命。",""
"视死若归","shì sǐ ruò guī","shi si ruo gui","把死看得象回家一样平常。形容不怕牺牲生命。同视死如归”。",""
"视死若生","shì sǐ ruò shēng","shi si ruo sheng","把死去看做活着一样。形容不怕死。",""
"视死如生","shì sǐ rú shēng","shi si ru sheng","把死去看做活着一样。形容不怕死。同视死若生”。",""
"视死如饴","shì sǐ rú yí","shi si ru yi","指甘心死去。",""
"适俗随时","shì sú suí shí","shi su sui shi","犹言顺应时俗。",""
"食宿相兼","shí sù xiāng jiān","shi su xiang jian","比喻幻想同时实现两个互相矛盾的目标。",""
"世俗之见","shì sú zhī jiàn","shi su zhi jian","世人的庸俗见解。",""
"视死犹归","shì sǐ yóu guī","shi si you gui","把死看得象回家一样平常。形容不怕牺牲生命。同视死如归”。",""
"十死一生","shí sǐ yī shēng","shi si yi sheng","形容生命非常危险。",""
"士死知己","shì sǐ zhī jǐ","shi si zhi ji","士有才识的人。为了报答知己，不惜牺牲生命。亦作士为知己者死”。",""
"世态人情","shì tai rén qíng","shi tai ren qing","社会风尚和为人处世之道。亦作世道人情”。",""
"世态炎凉","shì tài yán liáng","shi tai yan liang","世态：人情世故；炎：热，亲热；凉：冷淡。指一些人在别人得势时百般奉承，别人失势时就十分冷淡。",""
"斯事体大","ī shì tǐ dà","i shi ti da","斯此；体体制，规模。这件事性质重要，关系重大。",""
"誓天断发","shì tiān duàn fā","shi tian duan fa","断发向天起誓。",""
"誓天指日","shì tiān zhǐ rì","shi tian zhi ri","对着天、日发誓。",""
"视同儿戏","shì tóng ér xì","shi tong er xi","把事情当成小孩儿玩耍一样来对待。比喻不当一回事，极不重视。",""
"视同拱璧","shì tóng gǒng bì","shi tong gong bi","看作两手合抱的璧玉。比喻十分珍贵。",""
"视同路人","shì tóng lù rén","shi tong lu ren","路人：过路人，指素不相识的人。看做路上遇到的陌生人。指与亲人或熟人非常疏远。",""
"视同陌路","shì tóng mò lù","shi tong mo lu","指与亲人或熟人非常疏远。同视若路人”。",""
"视同秦越","shì tóng qín yuè","shi tong qin yue","先秦时秦越两国，一在西北，一在东南，相去极远◇因称疏远隔膜、互不相关为视同秦越”。",""
"誓同生死","shì tóng shēng sǐ","shi tong sheng si","立誓同生共死。形容十分密切，不可拆散。",""
"视同一律","shì tóng yī lǜ","shi tong yi lu","指同等看待。",""
"识涂老马","shí tú lǎo mǎ","shi tu lao ma","老马认识路。比喻对某种事物十分熟悉的人。同识途老马”。",""
"识途老马","shí tú lǎo mǎ","shi tu lao ma","老马认识路。比喻对某种事物十分熟悉的人。",""
"室徒四壁","shì tú sì bì","shi tu si bi","犹言室内空无一物。比喻贫穷。",""
"食荼卧棘","shí tú wò jí","shi tu wo ji","吃苦菜，睡粗草。形容初民的生活艰苦。",""
"世外桃源","shì wài táo yuán","shi wai tao yuan","原指与现实社会隔绝、生活安乐的理想境界。后也指环境幽静生活安逸的地方。借指一种空想的脱离现实斗争的美好世界。",""
"时望所归","shí wàng suǒ guī","shi wang suo gui","声望很高，为世人所敬仰。",""
"十万火急","shí wàn huǒ jí","shi wan huo ji","形容事情紧急到了极点（多用于公文、电报等）。",""
"十万火速","shí wàn huǒ sù","shi wan huo su","形容在紧急情况下动作极快地行事。",""
"什伍东西","shí wǔ dōng xī","shi wu dong xi","什伍：纵横错杂。原指南斗六星，牵牛六星，箕四星等分布得杂乱无章。后多形容事物错杂纷乱。",""
"视为儿戏","shì wéi ér xì","shi wei er xi","比喻不当一回事，极不重视。同视同儿戏”。",""
"食味方丈","shí wèi fāng zhàng","shi wei fang zhang","形容吃的阔气。同食前方丈”。",""
"识微见几","shí wēi jiàn jǐ","shi wei jian ji","看到事物的苗头而能认识和察见事物的本质和发展。",""
"识微见远","shí wēi jiàn yuǎn","shi wei jian yuan","看到事物的苗头而能察知它的发展远景。",""
"视为寇雠","shì wéi kòu chóu","shi wei kou chou","比喻极端仇视。",""
"事危累卵","shì wēi lèi luǎn","shi wei lei luan","事情危险得像堆起来的蛋一样。形容形势极端危险。",""
"食为民天","shí wéi mín tiān","shi wei min tian","指粮食是人民赖以生存的最为重要的东西。",""
"视为畏途","shì wéi wèi tú","shi wei wei tu","畏途：可怕的道路。看成可怕的、危险的道路。也比喻看成困难的、可怕的事情。",""
"什围伍攻","shí wéi wǔ gōng","shi wei wu gong","古时兵法，谓以十敌一则围歼之，以五敌一则攻击之。参见十围五攻”。",""
"视为知己","shì wéi zhī jǐ","shi wei zhi ji","看成好朋友。",""
"识微知著","shí wēi zhī zhuó","shi wei zhi zhuo","看到事物的苗头而能察知它的发展趋向或问题的实质。",""
"视微知著","shì wēi zhī zhuó","shi wei zhi zhuo","看到细微迹象，就能知道它的发展趋势。",""
"识文断字","shí wén duàn zì","shi wen duan zi","识字。指有一点文化知识。",""
"识文谈字","shí wén tán zì","shi wen tan zi","知晓文字。",""
"十围五攻","shí wén wǔ gōng","shi wen wu gong","兵力超过敌人十倍就可以包围它，超过五倍就可以攻击它。",""
"事往日迁","shì wǎng rì qiān","shi wang ri qian","指事情和时光都已过去。",""
"事无常师","shì wú cháng shī","shi wu chang shi","谓处事没有固定不变的准则，要择善而从。",""
"事无大小","shì wú dà xiǎo","shi wu da xiao","事情不分大小。形容什么事都管。",""
"事无二成","shì wú èr chéng","shi wu er cheng","谓公事和私事不能两全。",""
"市无二价","shì wú èr jià","shi wu er jia","买卖没有两种价钱，买卖公道，不欺骗人。形容社会风气好。亦作市不二价”。",""
"事无巨细","shì wú jù xì","shi wu ju xi","事情不分大小。形容什么事都管。同事无大小”。",""
"时无再来","shí wú zài lái","shi wu zai lai","时机错过，不会再来。激励人要抓紧时机。",""
"什袭而藏","shí xī ér cáng","shi xi er cang","什：形容多；袭：量词，套，层。将物品层层包裹，珍重地藏好。形容极珍重地收藏物品。",""
"视下如伤","shì xià rú shāng","shi xia ru shang","把百姓当作有伤病的人一样照顾。旧时形容在位者关怀人民。同视民如伤”。",""
"适性任情","shì xìng rèn qíng","shi xing ren qing","指顺适性情。",""
"适性忘虑","shì xìng wàng lǜ","shi xing wang lu","指顺悦情性忘却忧虑。",""
"视险若夷","shì xiǎn ruò yí","shi xian ruo yi","走在危险的地方就象走在平地一样。比喻平安地渡过困境。同视险如夷”。",""
"视险如夷","shì xiǎn rú yí","shi xian ru yi","夷平坦。走在危险的地方就象走在平地一样。比喻平安地渡过困境。",""
"什袭以藏","shí xí yǐ cáng","shi xi yi cang","什形容多；袭重迭。一层又一层把东西包裹起来。形容十分珍重地收藏好物品。同什袭而藏”。",""
"什袭珍藏","shí xí zhēn cáng","shi xi zhen cang","什形容多；袭量词，套，层。将物品层层包裹，珍重地藏好。形容极珍重地收藏物品。",""
"石心木肠","shí xīn mù cháng","shi xin mu chang","石、木都是硬物，形容坚定不动摇。",""
"实心实意","shí xīn shí yì","shi xin shi yi","指真诚实在的心意。",""
"适心娱目","shì xīn yú mù","shi xin yu mu","犹言喜心悦目。",""
"食言而肥","shí yán ér féi","shi yan er fei","食言：失信。指不守信用，只图自己占便宜。",""
"十羊九牧","shí yáng jiǔ mù","shi yang jiu mu","十头羊倒用九个人放牧。比喻官多民少，赋税剥削很重。也比喻使令不一，无所适从。",""
"势焰熏天","shì yàn xūn tiān","shi yan xun tian","形容势力大，气焰高，很可怕。",""
"拾遗补阙","shí yí bǔ quē","shi yi bu que","遗：遗漏；阙：过失。补充旁人所遗漏的事物。",""
"时移世变","shí yí shì biàn","shi yi shi bian","时代变迁，世事也不一样。同时易世变”。",""
"时易世变","shí yì shì biàn","shi yi shi bian","时代变迁，世事也不一样。",""
"时移势迁","shí yí shì qiān","shi yi shi qian","时候不同，情况也发生了变化。",""
"时异事殊","shí yì shì shū","shi yi shi shu","殊不同；差异。时间不同，事情也和以前不一样。意思是事物随着时间改变而发生变化。亦作时异势殊”。",""
"时异势殊","shí yì shì shū","shi yi shi shu","指时代、情势等都已起了变化。",""
"时移世异","shí yí shì yì","shi yi shi yi","那个时间已经过去，世情或处境也都发生了变化。",""
